field,operator,main_area,facility_type,archetype,status,discovery_year,first_year,last_year,api_gravity,recoverable_oil_msm3,water_depth,n_wells_total,peak_oil_msm3,total_oil_msm3,peak_date,ramp_length_months,ramp_k,ramp_t0,ramp_r2,plateau_length_months,plateau_avg_pct,plateau_std,plateau_cv,has_plateau,decline_length_months,D_12,D_decline_fit,D_annual,is_shut_in,is_producing
ALVHEIM,Aker BP ASA,North sea,FPSO,Fast FPSO,Producing,1998,2008,2026,34.5440158378669,23.49,124.0,108.0,0.52398,55.60754,2009-09-01,10,0.08114175014304252,6.090804921931929e-15,0.9431114377313271,16,0.7964461906943012,0.10908017225467755,0.1369586213471459,True,188,0.37373190229955067,0.05447701081176322,0.0563707420596046,False,True
BALDER,Vår Energi ASA,North sea,FPSO,Standard development,Producing,1967,1991,2026,30.0,58.85,127.0,139.0,0.62941,80.3448,2005-06-01,59,0.011899340629392676,119.99999995941948,0.34206799359355566,27,0.8898768805824621,0.08318473069871833,0.09347892108880321,True,235,0.07451712952034228,0.06398520497601073,0.0674451260768583,False,True
BAUGE,Equinor Energy AS,Norwegian sea,Other,Quick-peak small,Producing,2013,2022,2026,,7.9,282.0,2.0,0.04387,0.7168900000000001,2023-10-01,5,,,,6,0.6187979636805714,0.26236585055577877,0.4239927503885811,True,22,-0.06446940587321741,-0.008165340149175863,,False,True
BLANE,Repsol Norge AS,North sea,Other,Quick-peak small,Producing,1989,2007,2026,,0.8,74.0,,0.01409,0.7987799999999999,2008-01-01,3,,,,9,0.8735115527166628,0.14528182189811373,0.16631929073665974,True,186,0.23930236537105903,0.20226067365689981,,False,True
BRAGE,OKEA ASA,North sea,Fixed,Standard development,Producing,1980,1993,2026,,48.52,136.0,127.0,0.59961,62.80798,1995-10-01,20,0.07794732751739898,1.4169161250146073e-48,0.7447545354261087,16,0.9239172128550225,0.09350326230275763,0.10120307426010668,True,353,0.14071816350520444,0.08147554992189308,,False,True
BREIDABLIKK,Equinor Energy AS,North sea,Other,Standard development,Producing,1992,2021,2026,,30.46,128.0,62.0,0.41133,8.6462,2025-10-01,12,0.6364419063363917,0.744258997213204,0.9182350243391528,15,0.8829163931636399,0.09359687634196977,0.10600876489176536,True,0,,,,False,True
BYRDING,Equinor Energy AS,North sea,,Quick-peak small,Producing,2005,2017,2026,,1.45,,2.0,0.03498,0.85345,2017-11-01,3,,,,8,0.5669668381932533,0.09661525514222158,0.1704072418946129,True,90,0.08672829878618671,0.5820045709749575,,False,True
BØYLA,Aker BP ASA,North sea,Other,Quick-peak small,Producing,2009,2015,2026,34.5440158378669,3.43,120.0,15.0,0.08616,4.11299,2015-11-01,5,,,,8,0.7981807103064066,0.14532371492280277,0.18206868826360853,True,122,0.49834431122335576,0.061475806411449146,0.0504747406306086,False,True
DRAUGEN,OKEA ASA,Norwegian sea,Subsea tieback,Slow ramp mega,Producing,1984,1993,2026,41.4190002302327,131.37,265.0,36.0,1.09865,146.95922,2001-10-01,89,0.08202798342370193,17.634713153657962,0.945000857689117,18,0.9016540501726867,0.11226498031128904,0.12451003828994923,True,280,0.5062547477918592,0.11066244976137152,0.117334248026352,False,True
DUVA,Vår Energi ASA,North sea,Other,Quick-peak small,Producing,2016,2021,2026,,3.7,359.0,6.0,0.14835,3.4755,2021-12-01,3,,,,3,0.7712167172227838,0.24797014572009166,0.32153108222686483,True,50,-0.47719202430026353,0.39850844198333213,,False,True
EDDA,ConocoPhillips Skandinavia AS,North sea,Fixed,Quick-peak small,Shut down,1972,1979,1998,,4.8,70.5,10.0,0.15272,4.81745,1980-04-01,0,,,,6,0.7410729876025842,0.2575837209197601,0.3475821210985695,True,207,0.4111183891086738,0.09593151359972185,,True,False
EDVARD GRIEG,Aker BP ASA,North sea,Fixed,Standard development,Producing,2007,2015,2026,27.1149865857435,26.23,109.0,27.0,0.53014,43.44267,2021-08-01,58,0.013469523118855225,2.6536053022623605e-13,0.30090788433077986,16,0.8978088335156752,0.05546471433518201,0.0617778665843497,True,50,-0.4369065571171209,0.41509627000360594,0.3839074326617335,False,True
EKOFISK,ConocoPhillips Skandinavia AS,North sea,Fixed,Standard development,Producing,1969,1971,2026,38.8888505112461,524.1,76.0,474.0,1.71942,507.51149,1976-11-01,58,0.31745328719226884,41.70724198779449,0.9343622627144074,8,0.9027179223226438,0.11093756836253606,0.12289283907989748,True,588,-0.4308057360241683,0.014455746704523435,0.0147779693742812,False,True
ELDFISK,ConocoPhillips Skandinavia AS,North sea,Fixed,Quick-peak small,Producing,1970,1979,2026,38.8888505112461,124.7,71.0,219.0,0.59848,131.07946,1980-03-01,5,,,,8,0.8572905527335918,0.15962582612302467,0.18619804640799462,True,546,0.04181778787943734,0.01068514215867179,0.0102500978339937,False,True
EMBLA,ConocoPhillips Skandinavia AS,North sea,Fixed,Quick-peak small,Producing,1988,1993,2026,38.8888505112461,13.3,70.0,7.0,0.14754,11.92424,1994-01-01,6,0.36605731066783515,4.221747669275779,0.9984454494948861,7,0.8956796219911308,0.06281328831714121,0.07012919215188218,True,376,-0.2559756010351051,0.08491101290120795,0.0831182661582441,False,True
FENJA,Vår Energi ASA,Norwegian sea,Subsea tieback,Subsea satellite,Producing,2014,2022,2026,,10.9,325.0,8.0,0.14614,2.6481800000000004,2023-11-01,5,,,,9,0.7740598816963946,0.1662899749854559,0.21482830840040734,True,20,0.6593315746058587,0.6322021868452242,,False,True
FRAM,Equinor Energy AS,North sea,Subsea tieback,Standard development,Producing,1990,2003,2026,38.765436257241,11.2,360.0,30.0,0.32547,43.82673,2009-01-01,58,0.010000000000000002,1.551582084274728e-11,-0.061500230773857245,15,0.8630206573058452,0.13528160675270826,0.15675361372580207,True,196,0.3020704052627632,0.08225159843847181,0.0827846180450101,False,True
FRAM H-NORD,Equinor Energy AS,North sea,Other,Quick-peak small,Producing,2007,2014,2026,38.765436257241,1.67,360.0,3.0,0.05232,0.6501699999999999,2015-01-01,4,,,,0,,,,False,46,0.634085156387575,0.6997236150393066,0.1231079008893398,False,True
GIMLE,Equinor Energy AS,North sea,,Standard development,Producing,2004,2005,2026,,4.02,,7.0,0.06358,3.1303199999999993,2008-05-01,35,0.03539947137645476,49.232959333317595,0.3148229606574837,10,0.8244259201006606,0.07475811150099455,0.09067899210624861,True,166,0.8266834235656155,0.21536937416559937,,False,True
GLITNE,Equinor Energy AS,North sea,FPSO,Fast FPSO,Shut down,1995,2001,2013,,7.3,112.0,12.0,0.21246,8.88057,2002-03-01,3,,,,12,0.8621309109165646,0.1002917258846421,0.1163300429374677,True,123,0.153273927673057,0.2902423698631167,,True,False
GOLIAT,Vår Energi ASA,Barents sea,FPSO,Standard development,Producing,2000,2016,2026,41.2541667789031,30.56,360.5,41.0,0.48777,21.99485,2018-04-01,24,0.010000000000000002,3.752431919971796e-14,-0.044187981121129205,4,0.6649394181683991,0.06502340047019528,0.09778845815654111,True,93,0.5114411166464947,0.12043772596699742,0.1308047861872614,False,True
GRANE,Equinor Energy AS,North sea,Fixed,Standard development,Producing,1991,1996,2026,27.1149865857435,120.31,127.0,202.0,1.14067,138.12912999999998,2006-06-01,27,0.23178767881306234,8.443960978451758,0.9613306739996479,25,0.8983481637984693,0.07660353792777562,0.08527154728504623,True,219,0.07083893348140351,0.10072151632396789,0.100358621620288,False,True
GUDRUN,Equinor Energy AS,North sea,Fixed,Standard development,Producing,1975,2014,2026,52.8907602496174,11.16,109.0,19.0,0.33667,21.93203,2015-12-01,16,0.2673146747158641,6.291215955830111,0.9419139670338178,11,0.909736267237678,0.08586624336761901,0.09438586374965918,True,117,-0.20460007330336794,0.18582477722973975,0.1864250161132203,False,True
GULLFAKS,Equinor Energy AS,North sea,Subsea tieback,Slow ramp mega,Producing,1978,1986,2026,39.2636091110806,351.91,138.0,325.0,2.80493,380.25421,1994-05-01,76,0.04399050638374248,41.84320267139517,0.9490581585403297,28,0.878872963980257,0.12863420107704193,0.14636267850871285,True,367,-0.11625364273688857,0.10194047331587161,0.1032948927693395,False,True
GYDA,,North sea,Fixed,Standard development,Shut down,1980,1990,2025,38.8888505112461,36.77,68.5,56.0,0.40857,36.27184,1994-12-01,49,0.01577802944819603,1.60577734304295e-11,0.39253403129674624,8,0.8175282081405879,0.17638025337863855,0.21574821715302447,True,293,0.06397254398297433,0.17247452170008246,0.1709002781717435,True,False
HEIDRUN,Equinor Energy AS,Norwegian sea,Semi-sub,Standard development,Producing,1985,1995,2026,24.4409440894606,175.0,345.0,198.0,1.22077,179.59306999999995,1997-03-01,6,0.31201458581507635,3.7641389685335236,0.9931554937325485,27,0.8856325955779579,0.09506811853325296,0.10734487304096135,True,333,-0.2705815326165922,0.06638845820656351,0.0667867165407132,False,True
HOD,Aker BP ASA,North sea,Fixed,Quick-peak small,Producing,1974,1990,2026,38.8888505112461,8.35,72.0,32.0,0.15885,11.912329999999997,1991-12-01,6,0.24316206294515372,3.916824547805766,0.9944634570358325,11,0.8033078661973847,0.16115706484505668,0.20061681408390192,True,386,0.21059144437472244,0.055235873431881195,0.052963506271966,False,True
HUGIN SATELLITTER,Aker BP ASA,North sea,Fixed,Standard development,Approved for production,1976,1995,2001,,0.0,114.5,12.0,0.17375,5.553749999999999,1996-05-01,5,,,,14,0.8536485097636178,0.11085228342980376,0.12985705728051894,True,53,0.18314605051639074,0.5549830012609676,,False,False
HYME,Equinor Energy AS,Norwegian sea,Other,Standard development,Producing,2009,2013,2026,,3.24,256.0,4.0,0.08555,2.64984,2014-11-01,19,0.010000000000000002,4.431019194994063e-09,-0.010869244415905754,16,0.8205070134424314,0.06000419443379455,0.07313062953849399,True,40,0.6588980297377738,0.38902938294544664,,False,True
IVAR AASEN,Aker BP ASA,North sea,Fixed,Standard development,Producing,2008,2016,2026,27.1149865857435,18.3,113.0,41.0,0.28596,18.69194,2020-01-01,12,0.10231687876289029,10.569553637000324,0.9539364018369141,31,0.9065603580920408,0.07311508442257905,0.08065109374124636,True,69,0.023782547079758583,0.21430825719376004,0.2192990132208881,False,True
JOHAN SVERDRUP,Equinor Energy AS,North sea,Fixed,Standard development,Producing,2010,2019,2026,28.6999948032333,279.5,115.0,86.0,3.682,216.22701999999998,2023-08-01,41,0.23491675119121974,2.3011198296678974,0.8637679745709687,36,0.9304837346852557,0.054157999096742064,0.05820413305242943,True,0,,,0.0423649690480809,False,True
JOTUN,Vår Energi ASA,North sea,Fixed,Quick-peak small,Shut down,1994,1999,2026,32.0,25.41,126.5,36.0,0.69582,23.135540000000002,2000-11-01,7,0.2227491128013418,2.6525788347534394,0.9816181033634481,11,0.9086035834763955,0.06258284915290994,0.06887805671364687,True,174,0.9419775135444889,0.26124898455348144,0.2649045533018312,True,False
KNARR,,North sea,FPSO,Standard development,Shut down,2008,2015,2024,26.0,8.3,406.5,7.0,0.29915,9.60436,2016-10-01,13,0.4455943001054053,1.9105885196074162,0.9644604503477447,10,0.8521577803777369,0.09541917349847574,0.11197359889876166,True,62,0.8655570271723332,0.2756577909255168,0.3151697246084783,True,False
MARIA,Harbour Energy Norge AS,Norwegian sea,Other,Standard development,Producing,2010,2017,2026,24.4409440894606,25.0,303.0,13.0,0.14175,7.085469999999999,2021-01-01,34,0.010000000000000002,4.802204648614941e-12,-0.05994108309779955,4,0.9348148148148148,0.06933774152682393,0.0741727029011191,True,60,-0.2740444875888215,0.07886126142052352,0.0835777851121308,False,True
MORVIN,Equinor Energy AS,Norwegian sea,Other,Standard development,Producing,2001,2010,2026,,9.27,360.0,5.0,0.23247,9.62149,2011-09-01,12,0.09836223377065367,19.81375709769366,0.6759906257190191,4,0.7297500752785305,0.11576286616734212,0.158633578932017,True,168,0.2576014517905765,0.1917941723025923,,False,True
MURCHISON,,North sea,,Standard development,Shut down,1975,1980,2014,,13.95,,,0.29726,13.861529999999997,1984-04-01,38,0.03867459501258769,66.21757872464812,0.6767784902493876,12,0.7877419318666039,0.10422924875164385,0.13231395274930474,True,319,0.5745357449220061,0.10941960212323301,,True,False
NJORD,Equinor Energy AS,Norwegian sea,Semi-sub,Standard development,Producing,1986,1997,2026,44.766792129643,25.57,330.0,46.0,0.38436,27.45634,2000-11-01,21,0.09419102945932085,22.522329334974742,0.9216313275057938,21,0.8206443364108054,0.16037051621187837,0.19542024369933467,True,205,0.39056770638639504,0.16165257738263658,0.1084547567539416,False,True
NORNE,Equinor Energy AS,Norwegian sea,FPSO,Standard development,Producing,1992,1997,2026,33.9955719154872,88.53,377.0,59.0,1.05472,93.46524,2001-06-01,33,0.12635043991151887,5.000887576440208,0.9281217168175255,25,0.88364494842233,0.0742572413021839,0.08403515624093551,True,274,0.1864763650981979,0.16451812882870887,0.1652020243712755,False,True
NOVA,Harbour Energy Norge AS,North sea,Other,Quick-peak small,Producing,2012,2022,2026,,9.13,368.5,10.0,0.13213,3.87901,2024-03-01,8,0.37994648973015893,3.2275893382182708,0.9973823127500524,11,0.9339424671294799,0.05911347151516131,0.06329455356800467,True,22,0.1272018362239285,-0.026341943737383734,,False,True
ODA,Aker BP ASA,North sea,Other,Standard development,Producing,2011,2019,2026,,7.18,66.0,6.0,0.15634,4.59189,2022-10-01,43,0.010000000000000002,6.635455809320965e-13,-0.036698289888427604,2,0.757419726237687,0.07087350173463731,0.09357229456735379,True,40,1.3744492390840892,0.4893594512690903,,False,True
OSEBERG,Equinor Energy AS,North sea,Fixed,Long-plateau giant,Producing,1979,1986,2026,39.9434656421417,353.71,108.0,305.0,2.50924,398.68622,1995-10-01,39,0.04336161474929429,20.064484244419514,0.8695518115543,71,0.9410297287703522,0.05881647178582875,0.0625022461964985,True,338,0.009189312879256204,0.08151524412696179,0.0888794832598628,False,True
OSEBERG SØR,Equinor Energy AS,North sea,Fixed,Standard development,Producing,1984,2000,2026,39.9434656421417,57.62,102.0,130.0,0.47247,64.30445,2003-11-01,33,0.37856771201198425,8.019904068621203,0.9584365300207075,24,0.852576177676184,0.09164972269996868,0.10749740034934223,True,257,0.03655151487486587,0.06651897603993603,0.0690576514124705,False,True
OSEBERG ØST,Equinor Energy AS,North sea,Fixed,Standard development,Producing,1981,1999,2026,39.9434656421417,30.2,157.0,46.0,0.34952,24.051540000000003,2001-10-01,17,0.10148956314432904,21.671195586204604,0.9092418260796233,16,0.8622450074387732,0.14302602746195012,0.16587631848028553,True,287,-0.2686691707001609,0.06967901364580638,0.073079066070367,False,True
OSELVAR,,North sea,Other,Quick-peak small,Shut down,1991,2012,2025,,4.0,72.0,3.0,0.0301,0.67704,2012-06-01,0,,,,4,0.7455149501661129,0.292783970521875,0.39272716188540274,True,64,0.9133478209205654,0.22332936590542402,,True,False
RINGHORNE ØST,Vår Energi ASA,North sea,,Standard development,Producing,2003,2006,2026,,8.0,,10.0,0.18287,13.488999999999999,2008-10-01,23,0.1727152559202663,1.7871763400664966,0.9845515649964346,15,0.890793095277155,0.09900598442055981,0.11114363699659774,True,196,0.3980322079208388,0.2022473125317064,,False,True
SKOGUL,Aker BP ASA,North sea,Subsea tieback,Subsea satellite,Producing,2010,2020,2026,34.5440158378669,1.34,115.0,4.0,0.06536,1.7374999999999998,2020-07-01,0,,,,9,0.8756629946960424,0.10440277625627287,0.11922711920984266,True,64,0.4155260694113023,0.29469484790996553,0.2474673448173595,False,True
SKULD,Equinor Energy AS,Norwegian sea,Other,Standard development,Producing,2008,2013,2026,33.9955719154872,13.37,358.0,16.0,0.12013,4.787050000000001,2014-11-01,11,0.12525905654140201,15.924024268406,0.9294416576730422,14,0.787361310960745,0.11928766745752468,0.15150308479339536,True,97,0.09276743100930282,0.3277702887244148,0.3196723171540737,False,True
SNORRE,Equinor Energy AS,North sea,Semi-sub,Slow ramp mega,Producing,1979,1992,2026,39.2677387701335,242.4,340.0,178.0,1.35417,253.29366,2003-02-01,121,0.010000000000000002,3.1412431335667423e-12,0.2602826749873758,21,0.8147665218933966,0.12949912672918495,0.15894016659919727,True,261,0.5870218319204854,0.029457265770750314,0.0367143290649612,False,True
SOLVEIG,Aker BP ASA,North sea,Subsea tieback,Standard development,Producing,2013,2021,2026,27.1149865857435,6.98,100.0,12.0,0.1157,3.8918899999999996,2026-02-01,49,0.19817919129580935,11.135591398654972,0.9649406510154181,4,0.9311797752808989,0.07221506705888701,0.07755222887771879,True,0,,,,False,True
STATFJORD,Equinor Energy AS,North sea,Subsea tieback,Slow ramp mega,Producing,1974,1979,2026,39.2677387701335,565.82,145.0,431.0,3.45353,579.2871,1986-11-01,80,0.05090550892097377,48.038425727994756,0.9739956794427564,47,0.8431012092406714,0.07891301811410041,0.09359851136398255,True,425,-0.29552210259288614,0.13268892925684145,0.1329891977418907,False,True
STATFJORD NORD,Equinor Energy AS,North sea,Subsea tieback,Standard development,Producing,1977,1995,2026,39.2677387701335,39.27,268.5,20.0,0.40371,42.07988999999999,1997-07-01,27,0.2852718165785942,0.7801465258844875,0.884843678682152,7,0.8948078005074364,0.08757043909607368,0.09786508236340069,True,327,0.7708446574427463,0.09263449451131762,0.0881495688256354,False,True
STATFJORD ØST,Equinor Energy AS,North sea,Other,Standard development,Producing,1976,1994,2026,39.2677387701335,35.72,156.0,24.0,0.41302,39.0607,1998-05-01,32,0.05262465681422716,2.8938834144423395e-22,0.6882500926234212,21,0.8539157564144249,0.16869520016286152,0.19755485116144159,True,318,-0.13820835319292785,0.11541129677998158,0.1137940192582094,False,True
SVALIN,Equinor Energy AS,North sea,Other,Standard development,Producing,1992,2014,2026,,12.08,125.0,14.0,0.18876,9.26938,2015-07-01,7,0.20576681994327028,9.06088876628819,0.9887045684105534,14,0.8671025943753216,0.07201770444187097,0.08305557486395714,True,120,0.4347418377603296,0.13706470219580724,,False,True
SYGNA,Equinor Energy AS,North sea,Other,Standard development,Producing,1996,2000,2026,39.2677387701335,10.94,299.0,6.0,0.22606,11.368979999999999,2001-06-01,6,0.1676266847152434,7.523304347229341,0.9937907390864773,14,0.910614754616347,0.06692423554677233,0.07349346714129218,True,246,0.5410550008342792,0.13597622711770607,0.1099382035350818,False,True
TAMBAR,Aker BP ASA,North sea,Fixed,Standard development,Producing,1983,2001,2026,38.8888505112461,6.66,70.0,7.0,0.16185,12.20583,2002-07-01,6,0.3381552640598063,3.2934715962877337,0.9973405962046271,17,0.8680586599792837,0.07188485555202329,0.0828110574390662,True,262,0.14594720175595,0.09647531706259282,0.0957715379855949,False,True
TOR,ConocoPhillips Skandinavia AS,North sea,Fixed,Standard development,Producing,1970,1978,2026,,26.67,69.0,34.0,0.44305,27.375230000000002,1979-05-01,8,0.21948735175086592,6.262809883411248,0.9949475088153699,14,0.8421638963677109,0.12434368264720305,0.14764784287655017,True,486,0.6188947320963766,0.031538648441222006,,False,True
TORDIS,Equinor Energy AS,North sea,Subsea tieback,Slow ramp mega,Producing,1987,1994,2026,39.2677387701335,58.15,200.0,36.0,0.46331,67.55882,2001-12-01,84,0.010000000000000002,2.373892209532152e-10,0.04267593341526532,11,0.8717862181417899,0.1599404676533179,0.18346294576006328,True,274,-0.0751326290981553,0.06662448817889749,0.0637109187751146,False,True
TRESTAKK,Equinor Energy AS,Norwegian sea,Other,Quick-peak small,Producing,1986,2019,2026,,10.75,298.5,10.0,0.12584,5.649640000000001,2019-11-01,3,,,,4,0.8228504450095357,0.11511771207107388,0.13990113606821933,True,71,-0.301243790682176,0.08049770269898392,,False,True
ULA,Aker BP ASA,North sea,Fixed,Standard development,Producing,1976,1986,2026,38.8888505112461,78.24,71.0,49.0,0.70619,77.31277,1992-02-01,60,0.010703719290510921,106.56224284678505,0.7852828517094139,28,0.8693896624340273,0.07243839434021608,0.08332097501298849,True,377,0.3846359037483115,0.08203630871443712,0.0831187746803669,False,True
URD,Equinor Energy AS,Norwegian sea,Subsea tieback,Subsea satellite,Producing,2000,2005,2026,33.9955719154872,10.42,390.0,21.0,0.2115,8.17233,2006-08-01,4,,,,8,0.8520744680851065,0.11787254210454945,0.13833596301676318,True,220,0.8339869218226501,0.08040301593289202,0.0746106274223804,False,True
VALE,Aker BP ASA,North sea,Other,Slow ramp mega,Shut down,1991,2002,2026,,1.81,114.0,2.0,0.04107,2.8455,2014-12-01,149,0.010000000000000002,3.542659767052736e-17,-0.07339337070997032,9,0.5676757838920001,0.08260393725710426,0.1455125259893411,True,72,0.5296672525943769,0.06848219777542333,,True,False
VALHALL,Aker BP ASA,North sea,Fixed,Slow ramp mega,Producing,1975,1982,2026,38.8888505112461,171.47,74.0,221.0,0.48362,133.13288,1998-05-01,175,0.06511601983239121,16.674430267184427,0.7392052108321454,33,0.8770378195753491,0.1114209965217879,0.12704240801809044,True,301,-0.08868430569438815,0.038399820518318535,0.0382212921985169,False,True
VARG,Repsol Norge AS,North sea,FPSO,Fast FPSO,Shut down,1984,1998,2016,,12.14,84.0,35.0,0.21098,16.33265,2000-01-01,5,,,,10,0.7384586216703004,0.15395308145399444,0.208478954590268,True,195,0.2631305660799783,0.07818691310104983,,True,False
VESLEFRIKK,Equinor Energy AS,North sea,Fixed,Standard development,Shut down,1981,1989,2025,,56.06,175.0,68.0,0.42732,55.347409999999996,1995-03-01,46,0.4596793891218357,2.6632792697305203,0.8889005090575158,31,0.8595816989911618,0.11127282235439157,0.12944996675125311,True,302,0.14936232287178194,0.12093159356355969,,True,False
VIGDIS,Equinor Energy AS,North sea,Subsea tieback,Standard development,Producing,1986,1997,2026,39.2677387701335,47.91,281.5,55.0,0.5139,69.56298000000001,1998-11-01,19,0.41167706736040893,7.1924982028229545,0.8866607015983793,12,0.897901666990984,0.06411553986143644,0.07140597040686888,True,311,-0.011081226668262101,0.06497330850084398,0.063928200486713,False,True
VILJE,Aker BP ASA,North sea,Other,Standard development,Producing,2003,2008,2026,34.5440158378669,8.3,122.0,8.0,0.17141,13.902859999999999,2011-10-01,32,0.48865408240766917,0.980971915381312,0.8648579257126097,20,0.8725541100285865,0.10434046008844919,0.11958050382116794,True,157,0.3776757620993597,0.2278097397393377,0.2219907979674321,False,True
VOLUND,Aker BP ASA,North sea,Other,Standard development,Producing,1994,2008,2026,34.5440158378669,7.21,123.5,21.0,0.17897,12.039689999999998,2012-06-01,13,0.4140705855183518,3.2347463210280427,0.9932680556888653,29,0.9042644403897397,0.10249584815008503,0.11334720638346579,True,143,0.6539895204566475,0.2619716380728365,0.2433928137916878,False,True
VOLVE,Aker BP ASA,North sea,Other,Standard development,Shut down,1993,2008,2017,,11.9,90.0,22.0,0.27664,10.171990000000001,2009-03-01,8,0.18718115038215868,10.385743375078807,0.9980768085888174,16,0.8388993818681318,0.10069990511245588,0.12003812052907806,True,80,0.7769418693922925,0.14519540367001568,,True,False
YME,Repsol Norge AS,North sea,Other,Standard development,Producing,1987,1996,2026,,7.9,90.0,40.0,0.32865,11.57761,1998-03-01,17,0.7823062725179707,0.7233127639476205,0.9197183772616582,11,0.5224319876077064,0.1989620079038334,0.38083810452516503,True,76,0.10516613090761294,0.11173789522699215,,False,True
